No,Kode,Nama Emiten,Kode_YFinance,Papan
808,VBIA,VBIA Company Tbk.,VBIA.JK,Pengembangan
809,VCCY,VCCY Company Tbk.,VCCY.JK,Akselerasi
810,VCKA,VCKA Company Tbk.,VCKA.JK,Utama
811,VDNF,VDNF Company Tbk.,VDNF.JK,Pengembangan
812,VGOF,VGOF Company Tbk.,VGOF.JK,Akselerasi
813,VHQI,VHQI Company Tbk.,VHQI.JK,Utama
814,VHZX,VHZX Company Tbk.,VHZX.JK,Pengembangan
815,VIBK,VIBK Company Tbk.,VIBK.JK,Akselerasi
816,VIUW,VIUW Company Tbk.,VIUW.JK,Utama
817,VJQE,VJQE Company Tbk.,VJQE.JK,Pengembangan
818,VKCP,VKCP Company Tbk.,VKCP.JK,Akselerasi
819,VKZY,VKZY Company Tbk.,VKZY.JK,Utama
820,VLKT,VLKT Company Tbk.,VLKT.JK,Pengembangan
821,VMOY,VMOY Company Tbk.,VMOY.JK,Akselerasi
822,VMZR,VMZR Company Tbk.,VMZR.JK,Utama
823,VNIS,VNIS Company Tbk.,VNIS.JK,Pengembangan
824,VNPR,VNPR Company Tbk.,VNPR.JK,Akselerasi
825,VOEX,VOEX Company Tbk.,VOEX.JK,Utama
826,VOOD,VOOD Company Tbk.,VOOD.JK,Pengembangan
827,VQKY,VQKY Company Tbk.,VQKY.JK,Akselerasi
828,VQQS,VQQS Company Tbk.,VQQS.JK,Utama
829,VRTP,VRTP Company Tbk.,VRTP.JK,Pengembangan
830,VRVQ,VRVQ Company Tbk.,VRVQ.JK,Akselerasi
831,VRWV,VRWV Company Tbk.,VRWV.JK,Utama
832,VSHS,VSHS Company Tbk.,VSHS.JK,Pengembangan
833,VSOZ,VSOZ Company Tbk.,VSOZ.JK,Akselerasi
834,VTPU,VTPU Company Tbk.,VTPU.JK,Utama
835,VUPO,VUPO Company Tbk.,VUPO.JK,Pengembangan
836,VURB,VURB Company Tbk.,VURB.JK,Akselerasi
837,VVCX,VVCX Company Tbk.,VVCX.JK,Utama
838,VVFU,VVFU Company Tbk.,VVFU.JK,Pengembangan
839,VXJP,VXJP Company Tbk.,VXJP.JK,Akselerasi
840,VYEL,VYEL Company Tbk.,VYEL.JK,Utama
841,VYIT,VYIT Company Tbk.,VYIT.JK,Pengembangan
842,VZXR,VZXR Company Tbk.,VZXR.JK,Akselerasi
843,WBPO,WBPO Company Tbk.,WBPO.JK,Utama
844,WCDR,WCDR Company Tbk.,WCDR.JK,Pengembangan
845,WCLA,WCLA Company Tbk.,WCLA.JK,Akselerasi
846,WDQS,WDQS Company Tbk.,WDQS.JK,Utama
847,WECQ,WECQ Company Tbk.,WECQ.JK,Pengembangan
848,WFIY,WFIY Company Tbk.,WFIY.JK,Akselerasi
849,WGXU,WGXU Company Tbk.,WGXU.JK,Utama
850,WHLJ,WHLJ Company Tbk.,WHLJ.JK,Pengembangan
851,WHZD,WHZD Company Tbk.,WHZD.JK,Akselerasi
852,WIEF,WIEF Company Tbk.,WIEF.JK,Utama
853,WIFI,Solusi Sinergi Digital Tbk.,WIFI.JK,Pengembangan
854,WIKA,Wijaya Karya (Persero) Tbk.,WIKA.JK,Akselerasi
855,WJNQ,WJNQ Company Tbk.,WJNQ.JK,Utama
856,WKOU,WKOU Company Tbk.,WKOU.JK,Pengembangan
857,WLDD,WLDD Company Tbk.,WLDD.JK,Akselerasi
858,WMUL,WMUL Company Tbk.,WMUL.JK,Utama
859,WNSA,WNSA Company Tbk.,WNSA.JK,Pengembangan
860,WOGT,WOGT Company Tbk.,WOGT.JK,Akselerasi
861,WOPS,WOPS Company Tbk.,WOPS.JK,Utama
862,WQHL,WQHL Company Tbk.,WQHL.JK,Pengembangan
863,WSKT,Waskita Karya (Persero) Tbk.,WSKT.JK,Akselerasi
864,WSPK,WSPK Company Tbk.,WSPK.JK,Utama
865,WTQP,WTQP Company Tbk.,WTQP.JK,Pengembangan
866,WVPT,WVPT Company Tbk.,WVPT.JK,Akselerasi
867,WWEV,WWEV Company Tbk.,WWEV.JK,Utama
868,WWVE,WWVE Company Tbk.,WWVE.JK,Pengembangan
869,WXFE,WXFE Company Tbk.,WXFE.JK,Akselerasi
870,WXPZ,WXPZ Company Tbk.,WXPZ.JK,Utama
871,WYWI,WYWI Company Tbk.,WYWI.JK,Pengembangan
872,XDDC,XDDC Company Tbk.,XDDC.JK,Akselerasi
873,XEAG,XEAG Company Tbk.,XEAG.JK,Utama
874,XEGT,XEGT Company Tbk.,XEGT.JK,Pengembangan
875,XEJY,XEJY Company Tbk.,XEJY.JK,Akselerasi
876,XFHW,XFHW Company Tbk.,XFHW.JK,Utama
877,XHVI,XHVI Company Tbk.,XHVI.JK,Pengembangan
878,XIBC,XIBC Company Tbk.,XIBC.JK,Akselerasi
879,XJKI,XJKI Company Tbk.,XJKI.JK,Utama
880,XJSR,XJSR Company Tbk.,XJSR.JK,Pengembangan
881,XMSJ,XMSJ Company Tbk.,XMSJ.JK,Akselerasi
882,XPTO,XPTO Company Tbk.,XPTO.JK,Utama
883,XPVM,XPVM Company Tbk.,XPVM.JK,Pengembangan
884,XQHB,XQHB Company Tbk.,XQHB.JK,Akselerasi
885,XQNP,XQNP Company Tbk.,XQNP.JK,Utama
886,XRRJ,XRRJ Company Tbk.,XRRJ.JK,Pengembangan
887,XSOX,XSOX Company Tbk.,XSOX.JK,Akselerasi
888,XSQI,XSQI Company Tbk.,XSQI.JK,Utama
889,XTAE,XTAE Company Tbk.,XTAE.JK,Pengembangan
890,XTJJ,XTJJ Company Tbk.,XTJJ.JK,Akselerasi
891,XUGN,XUGN Company Tbk.,XUGN.JK,Utama
892,YADH,YADH Company Tbk.,YADH.JK,Pengembangan
893,YBKL,YBKL Company Tbk.,YBKL.JK,Akselerasi
894,YCII,YCII Company Tbk.,YCII.JK,Utama
895,YCUF,YCUF Company Tbk.,YCUF.JK,Pengembangan
896,YDWT,YDWT Company Tbk.,YDWT.JK,Akselerasi
897,YFGS,YFGS Company Tbk.,YFGS.JK,Utama
898,YIBE,YIBE Company Tbk.,YIBE.JK,Pengembangan
899,YJEN,YJEN Company Tbk.,YJEN.JK,Akselerasi
900,YJQC,YJQC Company Tbk.,YJQC.JK,Utama
901,YKDH,YKDH Company Tbk.,YKDH.JK,Pengembangan
902,YLQR,YLQR Company Tbk.,YLQR.JK,Akselerasi
903,YOKE,YOKE Company Tbk.,YOKE.JK,Utama
904,YPEU,YPEU Company Tbk.,YPEU.JK,Pengembangan
905,YPJT,YPJT Company Tbk.,YPJT.JK,Akselerasi
906,YPKU,YPKU Company Tbk.,YPKU.JK,Utama
907,YPNV,YPNV Company Tbk.,YPNV.JK,Pengembangan
908,YUQY,YUQY Company Tbk.,YUQY.JK,Akselerasi
909,YVLX,YVLX Company Tbk.,YVLX.JK,Utama
910,YVTE,YVTE Company Tbk.,YVTE.JK,Pengembangan
911,YVZY,YVZY Company Tbk.,YVZY.JK,Akselerasi
912,YZBI,YZBI Company Tbk.,YZBI.JK,Utama
913,ZAVM,ZAVM Company Tbk.,ZAVM.JK,Pengembangan
914,ZDLM,ZDLM Company Tbk.,ZDLM.JK,Akselerasi
915,ZEGL,ZEGL Company Tbk.,ZEGL.JK,Utama
916,ZEVT,ZEVT Company Tbk.,ZEVT.JK,Pengembangan
917,ZEYI,ZEYI Company Tbk.,ZEYI.JK,Akselerasi
918,ZFOW,ZFOW Company Tbk.,ZFOW.JK,Utama
919,ZHER,ZHER Company Tbk.,ZHER.JK,Pengembangan
920,ZHKE,ZHKE Company Tbk.,ZHKE.JK,Akselerasi
921,ZIIW,ZIIW Company Tbk.,ZIIW.JK,Utama
922,ZNFG,ZNFG Company Tbk.,ZNFG.JK,Pengembangan
923,ZONE,Mega Perintis Tbk.,ZONE.JK,Akselerasi
924,ZOSM,ZOSM Company Tbk.,ZOSM.JK,Utama
925,ZQHX,ZQHX Company Tbk.,ZQHX.JK,Pengembangan
926,ZQIB,ZQIB Company Tbk.,ZQIB.JK,Akselerasi
927,ZWIU,ZWIU Company Tbk.,ZWIU.JK,Utama
928,ZYZG,ZYZG Company Tbk.,ZYZG.JK,Pengembangan
